seed	vmh
cpd00364	qn
cpd00365	retinol
cpd00366	rbt
cpd00367	cytd
cpd00371	ppal
cpd00374	tym
cpd00378	frmd
cpd00379	glutar
cpd00380	itacon
cpd00382	raffin
cpd00383	skm
cpd00386	mal_D
cpd00387	adpglc
cpd00388	alltt
cpd00390	cdpglc
cpd00391	xylt_D
cpd00393	fol
cpd00395	Lcyst
cpd00396	rmn
cpd00397	rbl_L
cpd00399	odecoa
cpd00400	acryl
cpd00401	bzcoa
cpd00402	cdpglyc
cpd00403	mana
cpd00404	orn_D
cpd00405	hxdcal
cpd00408	pant_R
cpd00412	duri
cpd00413	glutcoa
cpd00415	hqn
cpd00416	itaccoa
cpd00417	abt
cpd00418	no
cpd00419	pydam
cpd00420	tststerone
cpd00421	pppi
cpd00423	cbl2
cpd00424	cyst_L
cpd00425	dma
cpd00426	hgentis
cpd00427	arabt_L
cpd00428	mthgxl
cpd00430	pac
cpd00432	tartr_M
cpd00434	4abutn
cpd00437	tagur
cpd00438	dad_2
cpd00441	tma
cpd00443	4abz
cpd00444	cdpea
cpd00446	camp
cpd00447	betald
cpd00448	glyald
cpd00449	dhlam
cpd00450	dms
cpd00452	phaccoa
cpd00453	12ppd_S
cpd00457	cholp
cpd00460	sacald
cpd00461	op4en
cpd00464	pacald
cpd00465	urdglyc
cpd00467	3sala
cpd00470	N1aspmd
cpd00472	udpgalur
cpd00473	3dhguln
cpd00475	r1p
cpd00477	acglu
cpd00478	pdx5p
cpd00479	HC00460
cpd00480	2dhglcn
cpd00481	ibcoa
cpd00482	2pg
cpd00483	3hanthrn
cpd00484	4hbald
cpd00485	man1p
cpd00486	id3acald
cpd00489	4hphac
cpd00490	5htrp
cpd00491	mnl1p
cpd00492	acmana
cpd00493	pyam5p
cpd00497	xmp
cpd00498	2ahbut
cpd00501	g1p_B
cpd00502	5forthf
cpd00503	f26bp
cpd00504	26dap_LL
cpd00506	glucys
cpd00507	g3pc
cpd00508	3mop
cpd00509	2dr1p
cpd00510	2dr5p
cpd00515	5dh4dglc
cpd00516	26dap_M
cpd00519	mmcoa_S
cpd00520	2ddpent
cpd00521	dtdp4d6dg
cpd00522	dtdp4d6dm
cpd00523	tre6p
cpd00524	2ins
cpd00525	uamag
cpd00526	cholate
cpd00528	n2
cpd00531	hg2
cpd00532	o2s
cpd00533	dcdp
cpd00536	ocdcea
cpd00540	glyb
cpd00541	lipoate
cpd00546	crtsl
cpd00550	ser_D
cpd00551	dmthgxl
cpd00557	sheme
cpd00558	sprm
cpd00559	sql
cpd00566	cortsn
cpd00567	pro_D
cpd00573	idon_L
cpd00577	retn
cpd00579	srtn
cpd00581	urcan
cpd00585	crtn
cpd00586	arg_D
cpd00587	cys_D
cpd00588	sbt_D
cpd00589	tagat_D
cpd00594	guln
cpd00596	oxur
cpd00599	salc
cpd00604	T4hcinnm
cpd00607	citmal
cpd00608	altrn
cpd00609	glcr
cpd00616	Largn
cpd00620	ptth
cpd00623	sphgn
cpd00626	dtdpglu
cpd00630	3oxoadp
cpd00635	cbl1
cpd00637	met_D
cpd00638	dnad
cpd00641	histd
cpd00642	rml
cpd00643	mfur
cpd00644	pnto_R
cpd00646	4nph
cpd00649	coF240
cpd00650	b2coa
cpd00652	galctr_D
cpd00653	galctn_D
cpd00654	dcyt
cpd00655	dpcoa
cpd00658	ichor
cpd00659	n2o
cpd00663	prpncoa
cpd00666	tartr_L
cpd00667	retinol_cis_11
cpd00668	alac_S
cpd00671	citmcoa_L
cpd00672	fruur
cpd00673	56dthm
cpd00681	chols
cpd00683	dhpt
cpd00689	ppbng
cpd00693	lald_D
cpd00695	HC00591
cpd00696	35ccmp
cpd00697	35cgmp
cpd00699	3dhq
cpd00703	ind3ac
cpd00705	L2aadp
cpd00706	mercppyr
cpd00711	carveol
cpd00712	2dhp
cpd00714	3hppnl
cpd00719	gdpmanur
cpd00722	acser
cpd00726	13dampp
cpd00727	2pglyc
cpd00728	4hdxbutn
cpd00729	5apentam
cpd00731	alaala
cpd00735	fmfur
cpd00738	pser_L
cpd00739	ribflvRD
cpd00742	allphn
cpd00743	citmcoa_L
cpd00745	3hpp
cpd00751	fuc_L
cpd00755	hmbil
cpd00756	dmgly
cpd00758	n8aspmd
cpd00759	Sfglutth
cpd00760	2mbcoa
cpd00762	4gubut
cpd00763	4mlacac
cpd00764	dann
cpd00765	gullac
cpd00767	Nacasp
cpd00770	nforglu
cpd00773	uamr
cpd00774	uppg3
cpd00776	Ssq23epx
cpd00781	5dglcn
cpd00782	pmcoa
cpd00790	achms
cpd00791	pppg9
cpd00792	coF240h
cpd00793	thmmp
cpd00794	tre
cpd00797	bhb
cpd00800	8aonn
cpd00802	f1p
cpd00804	sbt6p
cpd00805	tag6p_D
cpd00806	fc1p
cpd00807	hisp
cpd00808	ru5p_L
cpd00809	phom
cpd00810	orot5p
cpd00811	tmao
cpd00812	5pmev
cpd00817	ara5p
cpd00818	dgal6p
cpd00819	ab14lac_L
cpd00822	suchms
cpd00830	4h2oglt
cpd00831	rml1p
cpd00832	acgal
cpd00834	pan4p
cpd00836	adhlam
cpd00837	ametam
cpd00840	36dahx
cpd00841	5dpmev
cpd00842	3hbcoa
cpd00843	2h3oppan
cpd00847	r15bp
cpd00851	4hpro_LT
cpd00853	23dpg
cpd00854	34dhpha
cpd00856	3cmuc
cpd00858	glu5sa
cpd00859	psd5p
cpd00860	HC00695
cpd00861	uacmam
cpd00863	g6p_B
cpd00866	17ahprgstrn
cpd00867	mi1p_D
cpd00868	34hpp
cpd00869	2kmb
cpd00870	gbbtn
cpd00871	rb15bp
cpd00873	nicrnt
cpd00874	35dacap
cpd00875	kdo
cpd00876	3hmp
cpd00882	melt
cpd00885	inoshp
cpd00888	HC00718
cpd00889	pcollg5hlys
cpd00890	uama
cpd00891	mmcoa_R
cpd00893	2acamsucc
cpd00894	2dh3dgal
cpd00895	h4mpt
cpd00897	cdpddg
cpd00900	gdpddman
cpd00904	dhea
cpd00905	ppgpp
cpd00906	hexdp
cpd00907	M01966
cpd00908	g3pe
cpd00911	6pgl
cpd00914	mi134p
cpd00916	mi145p
cpd00918	acg5sa
cpd00919	hcit
cpd00922	1pipdn2c
cpd00924	ap4a
cpd00930	imacp
cpd00931	5apru
cpd00932	3psme
cpd00934	mi1345p
cpd00936	5fth4mpt
cpd00938	2c25dho
cpd00939	4ahmmp
cpd00943	mi13456p
cpd00945	2dh3dgal6p
cpd00946	unaga
cpd00954	6hmhpt
cpd00956	2cpr5p
cpd00957	25dhpp
cpd00971	na1
cpd00978	dudp
cpd00982	fadh2
cpd00986	pqqh2
cpd00988	3amp
cpd00989	3ump
cpd00992	12ethd
cpd01011	btal
cpd01012	cd2
cpd01015	cynt
cpd01017	cgly
cpd01024	ch4
cpd01027	oxam
cpd01030	salcn
cpd01048	aso4
cpd01078	seln
cpd01080	ocdca
cpd01092	alltn
cpd01101	cbmt
cpd01107	HC02175
cpd01113	hxa
cpd01122	lnlc
cpd01133	stys
cpd01150	aa
cpd01155	15dap
cpd01157	chtbs
cpd01160	cysam
cpd01169	L_dpchrm
cpd01171	galt
cpd01186	fcl_L
cpd01187	sbt_L
cpd01188	lanost
cpd01211	tcynt
cpd01217	xtsn
cpd01221	actn_S
cpd01228	aldstrn
cpd01237	cholcoa
cpd01242	drib
cpd01260	ddcacoa
cpd01262	malttr
cpd01270	fmnh2
cpd01293	5oxpro
cpd01298	aact
cpd01307	abt_D
cpd01311	dtbt
cpd01318	gchola
cpd01324	histl_L
cpd01329	malthx
cpd01335	occoa
cpd01342	prgnlone
cpd01393	arachcoa
cpd01398	lnlccoa
cpd01399	maltttr
cpd01400	phe_L
cpd01401	phyQ
cpd01419	urdgly
cpd01420	caro
cpd01441	acmalt
cpd01449	chlphyllide
cpd01450	crtstrn
cpd01454	C02147
cpd01468	HC00900
cpd01476	ppp9
cpd01495	2amac
cpd01496	amuco
cpd01501	2mcit
cpd01504	bamppald
cpd01507	oxadpcoa
cpd01519	arachdcoa
