seed	vmh
cpd11512	12m3omyrsACP
cpd11513	12m3hmyrsACP
cpd11514	12mtmrs2eACP
cpd11515	12mmyrsACP
cpd11516	14m3opalmACP
cpd11517	14m3hpalmACP
cpd11518	14mtpalm2eACP
cpd11519	14mpalmACP
cpd11520	3mbutACP
cpd11521	5m3ohexACP
cpd11522	5m3hhexACP
cpd11523	5mthex2eACP
cpd11524	5mhexACP
cpd11525	7m3oocACP
cpd11526	7m3hocACP
cpd11527	7mtoct2eACP
cpd11528	7mocACP
cpd11529	9m3odcaACP
cpd11530	9m3hdcaACP
cpd11531	9mtdec2eACP
cpd11532	9mdcaACP
cpd11533	11m3oddcaACP
cpd11534	11m3hddcaACP
cpd11535	11mtddec2eACP
cpd11536	11mddcaACP
cpd11537	13m3omyrsACP
cpd11538	13m3hmyrsACP
cpd11539	13mtmrs2eACP
cpd11540	13mmyrsACP
cpd11541	15m3opalmACP
cpd11542	15m3hpalmACP
cpd11543	15mtpalm2eACP
cpd11544	15mpalmACP
cpd11545	2mpropACP
cpd11546	4m3opentACP
cpd11547	4m3hpentACP
cpd11548	4mtpent2eACP
cpd11549	4mpentACP
cpd11550	6m3oheptACP
cpd11551	6m3hheptACP
cpd11552	6mthept2eACP
cpd11553	6mheptACP
cpd11554	8m3ononACP
cpd11555	8m3hnonACP
cpd11556	8mtnon2eACP
cpd11557	8mnonACP
cpd11558	10m3oundecACP
cpd11559	10m3hundecACP
cpd11560	10mtundec2eACP
cpd11561	10mundecACP
cpd11562	12m3otridecACP
cpd11563	12m3htridecACP
cpd11564	12mttritec2eACP
cpd11565	12mtridecACP
cpd11566	14m3opentdecACP
cpd11567	14m3hpentdecACP
cpd11568	14mtpentdec2eACP
cpd11569	14mpentdecACP
cpd11570	3ooctdecACP
cpd11571	3hoctdecACP
cpd11572	toctd2eACP
cpd11573	ocdcaACP
cpd11574	mobd
cpd11575	mops
cpd11576	metsox_R_L
cpd11578	hexs
cpd11579	ethso3
cpd11580	glygln
cpd11581	glyasn
cpd11582	alathr
cpd11583	alaleu
cpd11584	alahis
cpd11585	alagly
cpd11586	alaglu
cpd11587	alagln
cpd11588	glypro
cpd11589	glyasp
cpd11590	metala
cpd11591	glymet
cpd11592	glyglu
cpd11593	alaasp
cpd11594	dextrin
cpd11595	cro4
cpd11596	butso3
cpd11597	arsenb
cpd11606	mqn7
cpd11620	fdxrd
cpd11621	fdxox
cpd11640	h2
cpd11665	q10h2
cpd11763	dnacsn
cpd11825	octeACP
cpd11830	alpro
cpd11912	trnaglu
cpd12005	lpro
cpd12072	prodthl
cpd12115	arabinan101
cpd12139	prodslfd
cpd12223	dna5mtc
cpd12225	dhlpro
cpd12227	glutrna
cpd12237	peptmet_L
cpd12322	M00512
cpd12370	apoACP
cpd12458	HC01988
cpd12543	apoC_Lys
cpd12547	1agpe180
cpd12606	plasmetha
cpd12640	gm1_hs
cpd12678	ak2gchol_hs
cpd12689	3otdcoa
cpd12711	oazur
cpd12712	razur
cpd12734	aadpsae
cpd12737	Ndmelys
cpd12738	Ntmelys
cpd12848	apoC_Lys_btn
cpd13373	hololys2
cpd14507	peptmetox_L
cpd14545	imogly
cpd14698	3m1hbtpp
cpd14699	HC01377
cpd14700	2m1hptpp
cpd14702	2m1hbtpp
cpd14703	HC01376
cpd14865	dhsql
cpd14866	44dpnspr
cpd14883	lnlncacoa
cpd14887	clpndcoa
cpd14890	c226coa
cpd14891	adrncoa
cpd14905	ascb6p
cpd14936	CE2248
cpd14937	od2coa
cpd14938	HC02097
cpd14939	HC02098
cpd14940	HC02099
cpd14955	CE5656
cpd14960	copre5b
cpd14961	copre7
cpd15090	CE4828
cpd15237	hdcea
cpd15238	hdcoa
cpd15239	hdeACP
cpd15268	ocdACP
cpd15269	ocdcea
cpd15272	ocdycacoa
cpd15274	odecoa
cpd15277	palmACP
cpd15294	tdeACP
cpd15295	tetdece1coa
cpd15297	ttccoa
cpd15298	ttdcea
cpd15302	glycogenb
cpd15306	12dgr120
cpd15307	12dgr140
cpd15308	12dgr141
cpd15309	12dgr160
cpd15310	12dgr161
cpd15311	12dgr180
cpd15312	12dgr181
cpd15313	1agpe120
cpd15314	1agpe140
cpd15315	1agpe141
cpd15316	1agpe160
cpd15317	1agpe161
cpd15318	1agpg120
cpd15319	1agpg140
cpd15320	1agpg141
cpd15321	1agpg160
cpd15322	1agpg161
cpd15323	1agpg180
cpd15324	1agpg181
cpd15325	1ddecg3p
cpd15326	1hdec9eg3p
cpd15327	1hdecg3p
cpd15328	1odec11eg3p
cpd15329	1odecg3p
cpd15330	1tdec7eg3p
cpd15331	1tdecg3p
cpd15336	2agpe120
cpd15337	2agpe140
cpd15338	2agpe141
cpd15339	2agpe160
cpd15340	2agpe161
cpd15341	2agpe180
cpd15342	2agpe181
cpd15343	2agpg120
cpd15344	2agpg140
cpd15345	2agpg141
cpd15346	2agpg160
cpd15347	2agpg161
cpd15348	2agpg180
cpd15349	2agpg181
cpd15350	2ddecg3p
cpd15351	2dhguln
cpd15352	2dmmq8
cpd15353	2dmmql8
cpd15354	2hdec9eg3p
cpd15355	2hdecg3p
cpd15357	2odec11eg3p
cpd15358	2odecg3p
cpd15359	2ombzl
cpd15360	2omhmbl
cpd15361	2ommbl
cpd15362	2tdec7eg3p
cpd15363	2tdecg3p
cpd15378	4hba
cpd15414	btnso
cpd15417	cdpdddecg
cpd15418	cdpdhdec9eg
cpd15419	cdpdhdecg
cpd15420	cdpdodec11eg
cpd15421	cdpdodecg
cpd15422	cdpdtdec7eg
cpd15423	cdpdtdecg
cpd15430	clpn180
cpd15432	colipa
cpd15440	crncoa
cpd15441	ctbtcoa
cpd15454	dtdp4aaddg
cpd15469	gagicolipa
cpd15475	ggagicolipa
cpd15477	gggagicolipa
cpd15479	gicolipa
cpd15484	hhlipa
cpd15485	hlipa
cpd15488	hphhlipa
cpd15489	icolipa
cpd15492	kphphhlipa
cpd15494	malthp
cpd15495	maltpt
cpd15499	mql8
cpd15500	mqn8
cpd15521	pa120
cpd15522	pa140
cpd15523	pa141
cpd15524	pa160
cpd15525	pa161
cpd15526	pa180
cpd15527	pa181
cpd15528	pe120
cpd15529	pe140
cpd15530	pe141
cpd15531	pe160
cpd15532	pe161
cpd15533	pe180
cpd15534	pe181
cpd15535	pg120
cpd15536	pg140
cpd15537	pg141
cpd15538	pg160
cpd15539	pg161
cpd15540	pg180
cpd15541	pg181
cpd15542	pgp120
cpd15543	pgp140
cpd15544	pgp141
cpd15545	pgp160
cpd15546	pgp161
cpd15547	pgp180
cpd15548	pgp181
cpd15549	phhlipa
cpd15550	phphhlipa
cpd15552	ps120
cpd15553	ps140
cpd15554	ps141
cpd15555	ps160
cpd15556	ps161
cpd15557	ps180
cpd15558	ps181
cpd15560	q8
cpd15561	q8h2
cpd15584	madg
cpd15585	mbdg
cpd15603	glycys
cpd15604	glyleu
cpd15605	glyphe
cpd15606	glytyr
cpd15611	hxal
cpd15634	teich_45_BS
cpd15661	prl45tca
cpd15662	prl45tcaglc
cpd15663	prl45tcaala
cpd15665	PGP
cpd15666	PGPm1
cpd15667	glyc45tca
cpd15668	glyc45tcaala_D
cpd15669	glyc45tcaglc
cpd15671	1ihpdecg3p
cpd15672	1aihpdecg3p
cpd15673	1itdecg3p
cpd15674	1ipdecg3p
cpd15675	1aipdecg3p
cpd15676	1ihdecg3p
cpd15677	pai17
cpd15678	paai17
cpd15679	pai14
cpd15680	pai15
cpd15681	paai15
cpd15682	pai16
cpd15683	cdpdihpdecg
cpd15684	cdpdaihpdecg
cpd15685	cdpditdecg
cpd15686	cdpdipdecg
cpd15687	cdpdaipdecg
cpd15688	cdpdihdecg
cpd15689	psi17
cpd15690	psai17
cpd15691	psi14
cpd15692	psi15
cpd15693	psai15
cpd15694	psi16
cpd15695	pei17
cpd15696	peai17
cpd15697	pei14
cpd15698	pei15
cpd15699	peai15
cpd15700	pei16
cpd15701	12dihdglyc
cpd15702	12daihdglyc
cpd15703	12ditdglyc
cpd15704	12dipdglyc
cpd15705	12daipdglyc
cpd15706	12dixdglyc
cpd15716	pgpi17
cpd15717	pgpai17
cpd15718	pgpi14
cpd15719	pgpi15
cpd15720	pgpai15
cpd15721	pgpi16
cpd15722	pgi17
cpd15723	pgai17
cpd15724	pgi14
cpd15725	pgi15
cpd15726	pgai15
cpd15727	pgi16
cpd15728	diglcpg160
cpd15729	diglcpg140
cpd15730	diglcpg180
cpd15731	diglcpgi17
cpd15732	diglcpgai17
cpd15733	diglcpgi14
cpd15734	diglcpgi15
cpd15735	diglcpgai15
cpd15736	diglcpgi16
cpd15737	m12dpglyc
cpd15738	m12dmglyc
cpd15739	m12dsglyc
cpd15740	m12dihglyc
cpd15741	m12dahglyc
cpd15742	m12ditglyc
cpd15743	m12dipglyc
cpd15744	m12dapglyc
cpd15745	m12dixglyc
cpd15746	palmtca1
cpd15747	myrstca1
cpd15748	sttca1
cpd15749	i17tca1
cpd15750	ai17tca1
cpd15751	i14tca1
cpd15752	i15tca1
cpd15753	ai15tca1
cpd15754	i16tca1
cpd15755	palmtcaglc
cpd15756	myrstcaglc
cpd15757	sttcaglc
cpd15758	i17tcaglc
cpd15759	ai17tcaglc
cpd15760	i14tcaglc
cpd15761	i15tcaglc
cpd15762	ai15tcaglc
cpd15763	i16tcaglc
cpd15764	palmtcaacgam
cpd15765	myrstcaacgam
cpd15766	sttcaacgam
cpd15767	i17tcaacgam
cpd15768	ai17tcaacgam
cpd15769	i14tcaacgam
cpd15770	i15tcaacgam
cpd15771	ai15tcaacgam
cpd15772	i16tcaacgam
cpd15773	palmtcaala_D
cpd15774	myrstcaala_D
cpd15775	sttcaala_D
cpd15776	i17tcaala_D
cpd15777	ai17tcaala_D
cpd15778	i14tcaala_D
cpd15779	i15tcaala_D
cpd15780	ai15tcaala_D
cpd15781	i16tcaala_D
cpd15791	clpn160
cpd15792	clpn140
cpd15793	clpn180
cpd15794	clpni17
cpd15795	clpnai17
cpd15796	clpni14
cpd15797	clpni15
cpd15798	clpnai15
cpd15799	clpni16
cpd15914	4hbzACP
cpd16013	phdca
cpd16014	phdcaACP
cpd16015	phdcacoa
cpd16062	Cit_Mg
cpd16301	clpnd
cpd16335	2s5epchc
cpd16336	ispre
cpd16341	CE2510
cpd16342	adrn
cpd16343	CE2254
cpd16344	ei11ecoa
cpd16345	doco13ecoa
cpd16346	nrvnccoa
cpd16540	5dgclur
cpd16654	tcb
cpd16877	Nbfortyr
cpd16878	Nfortyr
cpd17026	mmql7
cpd17027	mmqn7
cpd17041	proteinsynth
cpd17042	dnarep
cpd17043	rnatrans
cpd17701	2dsciam
cpd17702	2d3ksciam
